City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hithadhoo,76,MV,1547424106,100,-0.6,73.08,81.01,6.78
1,east london,20,ZA,1547423503,100,-33.02,27.91,70.62,8.46
2,mataura,88,NZ,1547423725,86,-46.19,168.86,57.57,10.25
3,katima mulilo,12,NA,1547424107,91,-17.5,24.28,66.52,1.41
4,santa fe,92,AR,1547424020,97,-31.62,-60.7,73.18,5.21
5,thompson,20,CA,1547420400,72,55.74,-97.86,10.4,11.41
6,castro,0,CL,1547420400,55,-42.48,-73.76,60.8,6.93
7,abha,0,SA,1547420400,47,18.22,42.5,57.2,6.93
8,lorengau,88,PG,1547424109,96,-2.02,147.27,84.43,15.17
9,cape town,20,ZA,1547420400,82,-33.93,18.42,60.8,4.7
10,kamenka,76,RU,1547423768,91,53.19,44.05,18.6,9.69
11,punta arenas,40,CL,1547420400,50,-53.16,-70.91,53.6,27.51
12,ustka,92,PL,1547423950,94,54.58,16.86,41.37,23.11
13,new norfolk,0,AU,1547422200,46,-42.78,147.06,71.6,10.29
14,saint anthony,1,US,1547420160,56,43.97,-111.68,24.08,3.36
15,bastia,75,IT,1547423400,71,44.6,8.98,53.6,9.17
16,farmington,90,US,1547420580,85,36.73,-108.21,37.04,6.93
17,ushuaia,75,AR,1547420400,61,-54.81,-68.31,48.2,31.09
18,coquimbo,0,CL,1547420400,63,-29.95,-71.34,66.2,9.17
19,bathsheba,20,BB,1547420400,61,13.22,-59.52,77.0,8.05
20,lompoc,90,US,1547422500,62,34.64,-120.46,59.0,8.05
21,bingol,56,TR,1547423887,82,38.88,40.49,18.46,2.75
22,kruisfontein,32,ZA,1547424113,92,-34.0,24.73,66.03,8.01
23,skjervoy,64,NO,1547424113,100,70.03,20.97,27.6,2.19
24,georgetown,40,GY,1547420400,74,6.8,-58.16,80.6,11.41
25,chokurdakh,20,RU,1547423749,43,70.62,147.9,-27.17,2.75
26,rikitea,92,PF,1547423725,100,-23.12,-134.97,79.66,12.37
27,guerrero negro,12,MX,1547423791,71,27.97,-114.04,65.17,4.88
28,flinders,20,AU,1547422140,69,-34.58,150.85,77.0,5.82
29,maun,64,BW,1547424115,78,-19.99,23.42,73.0,2.98
30,atuona,88,PF,1547423716,100,-9.8,-139.03,81.19,15.84
31,kahului,40,US,1547420760,52,20.89,-156.47,80.96,6.93
32,huilong,92,CN,1547424116,94,28.89,110.18,35.83,2.53
33,qaanaaq,0,GL,1547423740,100,77.48,-69.36,-25.73,9.91
34,port alfred,20,ZA,1547423644,95,-33.59,26.89,67.06,7.67
35,busselton,0,AU,1547423717,100,-33.64,115.35,62.65,17.4
36,imeni poliny osipenko,20,RU,1547424104,64,52.42,136.49,-21.95,2.98
37,dikson,68,RU,1547423512,91,73.51,80.55,1.18,30.94
38,yinchuan,36,CN,1547424117,58,38.48,106.21,3.03,2.3
39,ucluelet,5,CA,1547420400,81,48.94,-125.55,50.0,9.17
40,xuddur,0,SO,1547424118,69,4.12,43.89,67.38,8.01
41,iqaluit,90,CA,1547420400,84,63.75,-68.52,-2.21,11.41
42,saskylakh,0,RU,1547423810,0,71.97,114.09,-56.33,8.23
43,codrington,90,AU,1547420400,57,-28.95,153.24,80.6,8.05
44,alvares machado,20,BR,1547420400,54,-22.08,-51.47,82.4,6.93
45,chuy,92,UY,1547424119,99,-33.69,-53.46,71.07,14.05
46,kapaa,20,US,1547420160,58,22.08,-159.32,80.06,9.17
47,sitka,12,US,1547423760,85,37.17,-99.65,29.89,2.75
48,khatanga,32,RU,1547423740,52,71.98,102.47,-30.95,8.68
49,nome,1,US,1547422500,53,30.04,-94.42,55.94,8.05
50,albany,20,US,1547421420,55,42.65,-73.75,17.06,8.05
51,kiunga,92,PG,1547424121,100,-6.12,141.3,73.99,1.63
52,tuktoyaktuk,40,CA,1547420400,74,69.44,-133.03,-25.61,19.46
53,huanuni,44,BO,1547424121,80,-18.29,-66.83,48.16,2.42
54,jamestown,0,AU,1547423717,63,-33.21,138.6,82.99,4.76
55,oni,44,GE,1547424122,87,42.59,43.44,16.98,2.42
56,mayahi,0,NE,1547424122,36,13.95,7.67,60.76,13.15
57,cabo san lucas,5,MX,1547419560,64,22.89,-109.91,78.8,4.7
58,creel,0,MX,1547424123,45,27.75,-107.63,48.93,4.88
59,lishu,0,CN,1547424123,61,43.31,124.32,1.18,2.98
60,broken hill,12,AU,1547420400,13,-31.97,141.45,93.2,5.82
61,progreso,90,UY,1547420400,94,-34.68,-56.22,71.6,8.05
62,belaya gora,64,RU,1547423846,64,68.54,146.19,-21.5,10.58
63,maragogi,76,BR,1547424058,98,-9.01,-35.22,75.88,5.44
64,severo-kurilsk,64,RU,1547423722,100,50.68,156.12,30.16,6.78
65,lavrentiya,92,RU,1547424125,100,65.58,-170.99,-2.29,31.27
66,cuiluan,68,CN,1547424125,76,47.72,128.65,4.47,4.21
67,nikolskoye,90,RU,1547422200,92,59.7,30.79,26.6,8.95
68,ponta do sol,20,BR,1547423781,86,-20.63,-46.0,72.33,1.86
69,soria,0,ES,1547424126,73,41.76,-2.46,21.57,2.42
70,pangnirtung,64,CA,1547424126,57,66.15,-65.72,-19.84,4.09
71,garden city,75,US,1547423580,48,40.73,-73.63,32.0,12.75
72,hilo,90,US,1547419980,56,19.71,-155.08,78.98,14.99
73,saint-georges,0,CA,1547423732,74,46.12,-70.67,-3.14,3.65
74,hermanus,44,ZA,1547423725,97,-34.42,19.24,52.75,2.64
75,rincon,90,US,1547422500,94,32.3,-81.24,51.8,5.82
76,biryusinsk,0,RU,1547424128,49,55.96,97.82,-17.14,2.64
77,rimouski,75,CA,1547420400,66,48.45,-68.52,12.2,11.41
78,komsomolskiy,56,RU,1547424129,76,67.55,63.78,4.51,12.03
79,tasiilaq,88,GL,1547419800,92,65.61,-37.64,15.8,5.82
80,cockburn town,0,TC,1547423510,100,21.46,-71.14,78.58,16.28
81,laguna,5,MX,1547419260,22,27.52,-110.01,78.8,6.93
82,hasaki,20,JP,1547422200,74,35.73,140.83,37.4,6.93
83,dingle,36,PH,1547424130,78,11.0,122.67,77.55,16.28
84,carnarvon,0,ZA,1547423731,51,-30.97,22.13,56.22,6.67
